first_name,second_name,element_type,now_cost,selected_by_percent,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,season
Rico,Henry,DEF,42,0.8,13,401,0,1,1,5,1,0,0,74,72.8,67.9,17.0,15.7,2023-24
Aaron,Hickey,DEF,43,0.1,17,713,0,0,2,12,5,0,0,87,66.6,28.4,37.0,12.9,2023-24
Vitaly,Janelt,MID,52,0.1,93,3054,1,4,9,52,8,0,1,466,503.4,562.5,285.0,135.3,2023-24
Mathias,Jensen,MID,52,0.7,98,2201,3,4,9,45,5,0,10,422,481.2,689.3,135.0,130.4,2023-24
Keane,Lewis-Potter,MID,47,0.1,73,1428,3,2,6,29,0,0,1,186,280.0,203.8,573.0,105.6,2023-24
Bryan,Mbeumo,MID,68,6.7,127,1957,9,7,5,31,2,0,12,364,554.2,572.1,576.0,170.1,2023-24
Ben,Mee,DEF,47,1.1,39,1272,2,1,1,28,1,1,3,210,334.8,88.2,118.0,54.2,2023-24
Christian,Nørgaard,MID,52,0.1,74,2504,2,1,6,51,8,0,3,414,501.8,396.2,316.0,121.8,2023-24
Frank,Onyeka,MID,49,0.0,39,1147,1,2,1,27,8,0,0,150,259.0,178.3,189.0,62.6,2023-24
Ethan,Pinnock,DEF,45,1.4,77,2521,2,0,5,46,1,0,5,479,653.2,63.4,221.0,94.2,2023-24
Mads,Roerslev Rasmussen,DEF,44,0.4,75,1975,1,2,5,40,1,0,3,354,382.0,281.3,94.0,76.3,2023-24
Kevin,Schade,MID,52,0.1,33,327,2,2,1,5,0,0,2,81,105.8,58.3,100.0,26.2,2023-24
Thomas,Strakosha,GK,39,1.2,4,135,0,0,0,2,0,0,0,24,42.8,0.0,0.0,4.3,2023-24
Ivan,Toney,FWD,77,3.7,57,1449,4,3,3,30,5,0,4,159,289.6,206.5,524.0,101.7,2023-24
Ryan,Trevitt,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Yoane,Wissa,FWD,57,5.1,131,2488,12,4,11,40,7,0,15,457,592.8,384.0,769.0,173.2,2023-24
Yegor,Yarmoliuk,MID,42,0.7,33,670,0,0,4,9,2,0,0,95,98.4,66.9,127.0,29.0,2023-24
Mathias,Jorgensen,DEF,43,0.3,29,1086,1,0,2,24,4,0,3,179,216.0,94.0,90.0,40.0,2023-24
Neal,Maupay,FWD,49,0.9,76,1417,6,3,4,37,8,0,6,248,325.8,242.5,568.0,112.6,2023-24
Sergio,Reguilón,DEF,45,3.0,74,1524,0,6,5,30,7,1,14,350,390.2,436.3,111.0,93.8,2023-24
Michael,Olakigbe,MID,45,0.0,8,51,0,0,0,0,0,0,0,14,4.8,4.1,27.0,3.5,2023-24
Ethan,Brierley,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Saman,Ghoddos,MID,45,0.0,26,728,1,0,0,20,5,0,0,127,139.8,163.8,45.0,35.1,2023-24
Ji-Soo,Kim,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Valintino,Adedokun,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Myles,Peart-Harris,MID,45,0.0,3,11,0,0,0,0,0,0,0,6,2.2,10.9,2.0,1.5,2023-24
Vincent,Angelini,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Hákon,Valdimarsson,GK,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Benjamin,Fredrick,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Benjamin,Arthur,DEF,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Yunus,Konak,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Simon,Adingra,MID,50,0.6,97,2220,6,1,4,38,3,0,8,330,477.6,507.8,751.0,173.4,2023-24
Steven,Alzate,MID,44,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Yasin,Ayari,MID,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Facundo,Buonanotte,MID,47,0.1,57,1356,3,1,6,19,7,0,1,160,254.8,291.3,238.0,78.4,2023-24
Aaron,Connolly,FWD,45,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-24
Mahmoud,Dahoud,MID,48,0.1,14,449,0,1,1,6,1,1,0,68,70.4,127.2,24.0,21.7,2023-24
Lewis,Dunk,DEF,52,5.3,89,2869,3,1,5,53,6,1,11,567,823.0,205.4,389.0,141.7,2023-24
Julio,Enciso,MID,50,0.4,20,468,0,2,0,12,2,0,0,62,81.0,131.7,157.0,36.9,2023-24
Pervis,Estupiñán,DEF,47,14.5,57,1242,2,3,3,26,4,0,7,291,350.8,382.6,156.0,89.0,2023-24
Evan,Ferguson,FWD,57,3.5,69,1356,6,1,2,28,1,0,5,218,275.0,106.7,393.0,77.3,2023-24
