id,first_name,second_name,team,element_type,now_cost,selected_by_percent,form,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
520,Lucas,Bergvall,19,3,55,0.2,0.0,49,955,1,3,3,18,0,0,0,2,0,0,0,163,164.6,106.4,147.0,41.5
521,Dejan,Kulusevski,19,3,65,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
522,Archie,Gray,19,3,50,0.2,0.0,61,1471,2,2,5,28,0,0,0,5,0,0,6,237,259.4,138.1,158.0,55.5
523,Mikey,Moore,19,3,50,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
524,Callum,Olusesi,19,3,45,0.9,0.0,1,14,0,0,0,0,0,0,0,0,0,0,0,3,0.6,1.8,0.0,0.2
525,Mateus,Fernandes,19,3,60,3.7,0.0,135,3017,3,4,8,50,0,0,0,7,0,0,7,659,657.2,622.8,183.0,146.3
526,Dominic,Solanke-Mitchell,19,4,60,2.6,0.0,40,997,3,0,0,21,0,0,0,1,0,0,4,187,205.0,84.1,339.0,62.7
527,Richarlison,de Andrade,19,4,60,1.9,0.0,119,1954,11,4,7,27,0,0,0,5,0,0,17,505,602.6,239.6,815.0,165.2
528,Dane,Scarlett,19,4,45,1.7,0.0,2,7,0,0,0,0,0,0,0,0,0,0,0,5,1.0,4.1,2.0,0.7
529,Robin,Roefs,20,1,50,5.2,0.0,136,3150,0,0,10,46,0,1,0,4,0,109,12,573,881.6,50.0,0.0,93.1
530,Anthony,Patterson,20,1,40,1.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
531,Melker,Ellborg,20,1,45,0.1,0.0,16,270,0,0,1,2,0,0,0,0,0,10,3,62,73.6,0.0,0.0,7.4
532,Daniel,Ballard,20,2,50,3.5,0.0,116,2144,2,2,6,35,0,0,0,4,1,0,9,340,662.8,181.2,370.0,121.5
533,Nordi,Mukiele,20,2,55,7.7,0.0,151,2784,3,5,9,40,1,0,0,5,0,0,11,489,733.6,353.1,242.0,132.9
534,Trai,Hume,20,2,45,2.2,0.0,110,3032,2,1,9,42,1,0,0,9,0,0,6,383,547.8,421.3,248.0,120.9
535,Omar,Alderete,20,2,50,1.2,0.0,125,2797,1,1,10,40,0,0,0,6,0,0,5,400,749.0,138.1,279.0,117.0
536,Reinildo,Mandava,20,2,45,0.5,0.0,74,1966,0,2,6,27,0,0,0,7,1,0,6,281,376.4,130.2,39.0,54.7
537,Jenson,Seelt,20,2,45,0.0,0.0,2,133,0,0,0,2,0,0,0,0,0,0,0,11,33.6,2.4,0.0,3.6
538,Leo Fuhr,Hjelde,20,2,40,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
539,Luke,O'Nien,20,2,40,2.3,0.0,26,565,0,1,2,7,0,0,0,1,1,0,1,90,103.0,27.6,40.0,17.1
540,Arthur,Masuaku,20,2,40,1.4,0.0,1,125,0,0,0,2,0,0,0,1,0,0,0,4,21.8,20.1,7.0,4.9
541,Thomas,Meunier,20,2,45,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
542,Enzo,Le Fée,20,3,60,12.4,0.0,147,2930,5,6,10,43,0,0,1,5,0,0,16,621,725.8,816.4,324.0,186.9
543,Habib,Diarra,20,3,55,0.1,0.0,65,1403,2,6,5,19,0,0,0,6,0,0,3,209,166.2,153.8,234.0,53.9
544,Granit,Xhaka,20,3,55,6.0,0.0,124,2901,1,6,9,39,0,0,0,8,0,0,8,603,685.0,595.3,101.0,138.1
545,Noah,Sadiki,20,3,50,0.4,0.0,80,2891,0,2,9,42,0,0,0,9,0,0,0,410,347.6,333.3,162.0,84.6
546,Simon,Adingra,20,3,50,0.3,0.0,34,649,1,1,4,8,0,0,0,2,0,0,3,81,81.4,116.8,75.0,27.0
547,Romaine,Mundle,20,3,50,0.0,0.0,14,399,0,0,0,11,0,0,0,1,0,0,0,42,29.4,33.6,69.0,12.7
548,Chris,Rigg,20,3,50,0.1,0.0,36,758,1,1,3,11,0,0,0,1,0,0,1,136,114.6,142.8,103.0,36.0
549,Chemsdine,Talbi,20,3,55,0.2,0.0,83,1553,4,2,7,14,0,0,0,0,0,0,6,248,238.8,211.5,245.0,69.1
550,Djiamgone Jocelin Ta,Bi,20,3,50,0.0,0.0,1,38,0,0,0,0,0,0,0,0,0,0,0,4,3.4,4.3,2.0,1.0
551,Nilson,Angulo,20,3,50,0.1,0.0,13,401,0,0,1,6,0,0,0,1,0,0,0,43,45.4,44.3,89.0,17.8
552,Brian,Brobbey,20,4,60,20.5,0.0,92,1920,7,2,6,30,0,0,0,6,0,0,12,309,333.4,200.5,552.0,106.7
553,Wilson,Isidor,20,4,55,1.2,0.0,74,1148,6,1,4,17,0,0,0,1,0,0,7,266,242.0,30.4,444.0,71.5
